VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,total_amount,trip_time
1,08-01-2015 22:44,08-01-2015 23:11,2,9.2,-73.99015808,40.73864365,1,N,-73.9681778,40.6367569,1,29.5,0.5,0.5,6.15,0,36.95,3345469
2,08-01-2015 22:44,08-01-2015 22:54,1,1.09,-73.99793243,40.73020172,1,N,-73.98995972,40.72043991,1,8,0.5,0.5,1,0,10.3,893938
1,08-01-2015 22:44,08-01-2015 22:47,1,0.7,-73.97940063,40.74380875,1,N,-73.97489929,40.75185776,1,4.5,0.5,0.5,1.15,0,6.95,36869
2,08-01-2015 22:44,08-01-2015 23:02,1,5.38,-73.98138428,40.6796875,1,N,-73.95590973,40.71957779,1,19,0.5,0.5,3,0,23.3,37874352
1,08-01-2015 22:44,08-01-2015 23:09,1,3.6,-73.98213959,40.76153183,1,N,-73.98233032,40.73152924,1,18,0.5,0.5,4.82,0,24.12,459479754
2,08-01-2015 22:44,08-01-2015 23:13,1,18.4,-73.78364563,40.64865112,2,N,-73.9913559,40.72351074,1,52,0,0.5,10.4,0,63.2,84860
1,08-01-2015 22:44,08-01-2015 22:56,1,1.9,-73.95206451,40.69949341,1,N,-73.95991516,40.71823883,1,9.5,0.5,0.5,2.15,0,12.95,848
2,08-01-2015 22:44,08-01-2015 22:58,1,3.32,-73.96826172,40.75843811,1,N,-73.94763947,40.7641983,1,13,0.5,0.5,2.7,0,17,5006
2,08-01-2015 22:44,08-01-2015 22:50,1,0.83,-73.97122955,40.75787735,1,N,-73.97879791,40.74930191,2,5.5,0.5,0.5,0,0,6.8,5344866
1,08-01-2015 22:44,08-01-2015 23:27,1,28.5,-73.97518158,40.75170135,1,N,-74.21026611,40.54156876,1,76,0.5,0.5,26.62,11.75,115.67,5003
2,08-01-2015 22:44,08-01-2015 22:55,1,1.39,-73.99859619,40.72969055,1,N,-74.00110626,40.73683167,1,8.5,0.5,0.5,1.8,0,11.6,5344863
1,08-01-2015 22:44,08-01-2015 22:47,1,0.4,-74.00108337,40.73137283,1,N,-73.99718475,40.736763,1,3.5,0.5,0.5,1.4,0,6.2,3345467
2,08-01-2015 22:44,08-01-2015 22:46,1,0.38,-73.96239471,40.75875854,1,N,-73.95861053,40.76228333,1,3.5,0.5,0.5,0.48,0,5.28,893936
1,08-01-2015 22:44,08-01-2015 22:55,1,1.6,-74.0025177,40.73950195,1,N,-73.99586487,40.7590332,1,9,0.5,0.5,2.05,0,12.35,36867
2,08-01-2015 22:44,08-01-2015 22:48,1,0.7,-74.00331116,40.73285675,1,N,-74.00340271,40.72547531,1,4.5,0.5,0.5,2,0,7.8,37874350
2,08-01-2015 22:44,08-01-2015 22:53,5,1.54,-73.99237823,40.73801422,1,N,-73.99275208,40.75437546,1,8,0.5,0.5,1,0,10.3,459479752
1,08-01-2015 22:44,08-01-2015 22:47,1,0.4,-73.9883728,40.74612045,1,N,-73.99434662,40.74619293,1,4,0.5,0.5,1,0,6.3,84858
2,08-01-2015 22:44,08-01-2015 23:17,6,17.89,-73.78617096,40.64349365,2,N,-73.97861481,40.76502991,1,52,0,0.5,13,0,65.8,846
1,08-01-2015 22:44,08-01-2015 22:50,1,0.9,-73.96020508,40.77374649,1,N,-73.95100403,40.77517319,2,6,0.5,0.5,0,0,7.3,5004
1,08-01-2015 22:44,08-01-2015 22:53,1,1.4,-73.96890259,40.75742722,1,N,-73.96323395,40.77252197,2,8,0.5,0.5,0,0,9.3,5344864
2,08-01-2015 22:44,08-01-2015 22:50,3,1.81,-73.96289063,40.77512741,1,N,-73.94261169,40.78902817,1,7.5,0.5,0.5,1,0,9.8,3345468
1,08-01-2015 22:44,08-01-2015 22:53,1,1.5,-73.98191071,40.77177811,1,N,-73.96907806,40.78602219,1,8.5,0.5,0.5,1.5,0,11.3,893937
2,08-01-2015 22:44,08-01-2015 22:48,1,0.74,-74.00414276,40.74797058,1,N,-73.99472809,40.75045395,2,5,0.5,0.5,0,0,6.3,36868
2,08-01-2015 22:44,08-01-2015 22:50,1,1.59,-73.95635223,40.77155304,1,N,-73.94268799,40.78612518,2,7,0.5,0.5,0,0,8.3,37874351
2,08-01-2015 22:44,08-01-2015 22:51,1,1.51,-73.9800415,40.75432968,1,N,-73.98728943,40.73631287,2,7,0.5,0.5,0,0,8.3,459479753
2,08-01-2015 22:44,08-01-2015 22:59,6,4.14,-73.99194336,40.74908829,1,N,-74.01660156,40.70529556,1,15.5,0.5,0.5,3.2,0,20,84859
